Total Elapsed Time: 2.261 seconds
Token: Frequency
102716: 1
102719: 1
102734: 1
1027358: 1
102750: 1
1027510: 1
102754: 1
102761: 1
102773: 1
102775: 1
102782: 1
102791: 1
1028: 2
102814: 1
10282: 1
102844: 1
102865: 1
10287: 1
102876: 1
10288: 1
102884: 1
102895: 1
102903: 1
102911: 1
102914: 1
1029152: 1
102921: 1
102939: 1
102972: 1
102987: 1
102988: 1
102991: 1
102994: 1
102996: 2
103: 77
1030: 1
10300: 2
103001: 1
103007: 1
103009: 1
103023: 1
103025: 1
103028: 1
1030366: 1
1030372: 1
103042: 1
103056: 1
103058: 1
103059: 1
1030659: 1
103070: 1
103074914: 1
10308: 10
103084: 1
1030840: 1
103090: 1
103096: 4
1031: 1
103112: 1
103117: 1
103122: 1
103125: 4
103126: 1
10314: 1
103155: 1
103159: 1
10318: 1
1031835: 1
103193: 1
103196: 1
1032: 1
1032008: 1
103208: 1
103222: 1
103230: 1
1032394: 1
103248: 1
103254: 1
103264: 1
103268: 2
103275: 1
1032783: 1
103279: 1
103286: 1
1032935: 1
103302: 1
1033128: 1
103326: 1
103332: 1
103342: 1
103343: 1
103350: 1
103353: 1
103356: 2
1033608: 1
10338: 2
103385: 1
103414: 1
1034155: 1
103417: 1
1034177: 1
10343: 1
103446: 1
103464: 1
103466: 3
103469153: 1
103487: 2
103496: 1
1034963: 1
1035: 1
103502: 1
103509: 1
103515: 1
10354: 2
103551: 1
10356: 1
103564: 1
103572: 1
103573: 1
1035786: 1
1035906: 1
103593: 1
1036: 2
10360: 3
103602: 1
103610: 1
1036264: 1
1036277: 1
103638: 1
1036509: 1
1036586: 1
10366: 2
103666: 1
1036873: 1
1037: 1
103704: 1
10371: 1
103712: 1
103713: 1
103731: 1
1037338: 1
103735: 1
103746: 1
103752: 1
1037545: 1
103758: 1
10377: 1
103775: 1
1037765: 1
10378: 1
103781: 1
103788: 1
103793: 1
103796: 2
1038: 1
10380: 3
1038098: 1
10381: 1
103816: 1
103823: 1
103824: 2
1038307: 1
103843: 1
103846: 1
103850: 1
10385348: 1
10386: 1
103879: 1
1038797: 1
103887: 1
103892: 1
103896: 1
1039: 4
1039057: 1
103911: 1
103926: 1
10393: 1
103943: 1
103955: 1
103964: 1
10397: 1
103970: 1
103996: 2
104: 49
1040: 1
104002: 1
104019: 1
104024: 1
1040266: 1
104038: 1
104045: 1
10405: 2
104052: 1
104059: 1
104068: 1
104073374: 1
10409: 1
104092: 1
1041: 1
104104: 1
10414: 4
104158: 1
104168194: 1
104172: 1
10418598: 1
1041938: 1
104199: 1
10421: 4
104214: 1
1042157: 1
104216: 1
104219: 1
1042347: 1
1042362: 1
104238: 1
10425: 1
104250: 1
104254: 1
1042550: 1
1042582: 1
10426: 1
104278: 1
1042863: 1
104298: 2
1043: 1
1043197: 1
104324: 1
10433: 1
104338: 1
1043384: 1
104342: 1
104351: 1
10435234198: 1
104355: 1
104356: 2
104358: 1
104365: 1
104371: 1
104377: 1
104380: 1
1043908: 1
104395: 1
1044: 3
104406: 2
104409: 1
104417: 1
104428: 1
1044536: 1
104454: 1
104477: 1
1044770: 1
104488: 1
1045: 2
104502: 1
104525: 1
10454: 3
104544: 1
1045458: 1
1045552: 1
104556: 1
10457: 1
1045722: 1
1045780: 1
104579: 1
1045951: 1
1046: 2
104606: 1
104609: 1
104613: 1
104620: 1
1046206: 1
1046335: 1
104637: 1
104639: 1
104657: 1
1046571: 1
10466: 1
104672: 1
104673: 1
104682: 8
104699: 1
10470: 1
104710: 1
1047167: 1
104734: 1
104738: 1
104756: 2
10476: 1
1047681: 1
104813: 1
104817: 1
10482: 1
104824: 1
10484: 1
104840: 1
104844: 2
104847: 1
104861: 1
104862: 1
104874: 1
1048778: 1
104898: 1
104902: 1
104917: 1
104923: 1
10493: 1
104932: 1
104946: 1
10496: 1
104961: 1
104968: 2
104970: 1
104971: 1
1049744: 1
104977: 1
10498: 1
104989: 1
104990: 1
104993: 1
104th: 4
105: 74
1050: 3
10500: 1
105017: 1
105029: 1
105044: 1
1050475: 1
10505: 7
105051: 1
105065: 1
1051: 1
105105: 1
105116: 1
105120: 1
1051365: 1
105140: 1
105150: 1
1051557: 1
105166: 1
10518: 2
105195: 1
1051am: 1
1052: 3
105204: 1
1052090: 1
10522: 1
105222: 1
105231: 2
105232: 1
105234: 1
105237: 1
105244: 1
1052483: 1
1052516: 1
105260: 1
105263: 1
105265: 1
1052793: 1
1052858: 1
1053: 5
105307: 1
105309: 1
1053101: 1
105313: 1
10532: 1
105328: 1
10532836: 1
105329: 1
1053312: 1
105338: 1
10535: 1
105383: 1
105393: 1
105396: 1
1053norvegiai: 1
1054: 2
105409: 1
1054090: 1
105412: 1
105417: 1
105421: 1
1054229: 1
10543: 1
105432: 1
105442: 1
10545: 1
105457: 1
105468: 1
105472: 2
105474: 1
1054764: 1
105484: 1
105489: 1
105495: 1
1055: 18
105500: 1
1055014: 1
1055064: 1
105510: 1
10552: 1
1055264: 1
1055327: 1
105540: 1
105550: 1
105553: 2
10558: 1
1055962: 1
1056: 1
1056099: 1
105610: 1
1056108: 1
105627: 1
105632: 1
105635: 1
105638: 1
10564: 1
1056482: 1
105650: 1
10565663: 1
105658: 1
105688: 1
105689: 1
105690: 1
105696: 1
1057: 2
1057014: 1
10571: 1
10571611: 1
105720: 1
105726: 1
1057321: 1
105733: 1
105741: 1
105744041: 1
10576: 1
105772: 1
105783: 1
105785: 1
10579: 1
105796: 1
105812: 1
10583: 7
105835: 1
105837: 1
105839: 1
105864: 1
105868: 1
105879: 1
105884: 1
105887: 1
10591: 1
105910: 1
10592: 1
1059360: 1
10594: 1
105940: 1
105947: 1
10595: 1
105966: 1
105976: 1
1059860: 1
1059lengyelorszagba: 1
105dege: 1
105fn: 1
105point: 1
105th: 1
106: 53
1060: 2
106006: 1
1060061: 1
106036: 1
10604: 2
106049: 1
106059: 1
106062: 1
106063: 1
106065: 1
106067: 1
10607: 1
106075: 1
10608: 5
106080: 1
106087: 1
1060987: 1
1061: 1
10610: 1
106105: 1
106110: 1
106111: 1
10612: 2
106121: 1
106129: 1
1061371: 1
1061485: 1
106149: 1
106158: 1
106159: 1
10616: 3
106162: 1
1061702: 1
106172: 1
106174: 1
106195: 1
1062: 4
106215: 1
106216: 1
1062290: 1
10623: 2
1062405: 1
106248: 1
1062496: 1
1062617: 1
1062761: 1
106293: 1
106295: 1
1063: 1
106313: 1
10632: 1
106321: 1
106325: 1
1063460: 1
1063483: 1
10635: 1
106350: 1
1063513: 1
106352: 1
106367: 1
10638: 1
1064: 1
106404: 1
106406: 1
10642: 7
10643: 2
106436: 1
106438: 1
106445: 1
10645: 7
106471: 1
10648: 1
106505: 1
106517: 1
106524: 1
106553: 1
106560: 1
10657: 2
106572: 1
1065740: 1
106589: 1
10659: 1
106590: 1
1065903: 1
1066: 1
106602: 1
106603: 1
106609: 1
106616: 1
106621: 1
106628: 1
106629: 1
1066295: 1
106641: 1
106664: 1
106679: 1
106689: 1
106697: 1
106698: 1
1067: 1
106702: 1
106712: 1
106727: 1
106730: 1
10674: 1
106741: 1
106743: 1
106751: 1
106753: 1
1067569: 1
106761: 2
106763: 1
106768: 1
106778: 1
1067807: 1
1067957: 1
1068: 1
106806: 1
10681: 1
10682: 77
1068347: 1
106842: 1
10685: 1
106863: 1
106873: 1
106889: 1
10689: 1
106896: 1
1069: 1
106903: 1
1069109: 1
106917: 1
106924: 1
10693: 2
106934: 1
106949: 1
10695: 1
106964: 1
1069681: 1
1069682: 1
10697: 1
1069747: 1
106980: 1
1069807: 1
106987: 1
1069919: 1
106993: 1
106996: 1
1069969: 1
107: 47
1070: 4
10700: 1
107013: 1
107024: 1
107030: 1
1070326: 1
107038: 1
10704: 6
107044: 1
107046: 1
107059: 1
10707: 1
107071: 1
107080: 1
10708293: 1
107086: 1
107095: 2
107097: 1
107114: 1
1071241: 1
107130: 1
107137: 1
107145: 1
1071583: 1
107168: 1
10718: 2
107185: 1
107186: 1
1071903: 1
10720: 1
107208: 1
10722: 1
107227: 1
107253: 1
107254: 1
107267: 1
1072820: 1
10728309: 1
107287: 1
1072916: 1
107298: 1
1073: 1
1073101: 1
107319: 2
107323: 1
107331: 1
107336: 1
107337: 1
107339: 2
107360: 1
107361: 1
107362: 1
107371: 1
107372: 1
107398: 1
1074: 1
10740: 234
107407: 1
107426: 1
1074396: 1
10744: 2
107444: 1
107457: 1
107464: 1
10748: 1
1074808: 1
107481: 1
107490: 1
107496558: 1
1075: 2
107518: 2
10754: 2
10755: 1
107556: 1
1076: 2
10762: 1
107623: 1
1076311: 1
107653: 1
107658: 1
1076697: 1
10767: 1
107678: 1
107698: 1
1077: 1
107706: 1
10771: 1
10772nbsp: 1
10773: 1
1077305: 1
107744: 1
107748: 1
107755: 1
107768: 1
107779: 2
1077795: 1
107788: 1
107797: 1
107798: 1
107799: 1
1078: 59
10780: 1
107801: 1
1078013: 1
107812: 1
1078135: 1
107822: 1
1078310: 1
107836: 1
1078427: 1
107868: 1
107875: 1
10788: 2
107894: 1
107896: 1
107897: 1
10789836: 1
1079: 3
107900: 1
107926: 1
107938: 1
10794: 1
1079410: 1
107942: 1
1079580: 1
1079596: 1
10797: 1
107983: 1
107986: 1
107ep: 1
107k: 1
108: 54
1080: 2
10800: 2
108005: 1
108014: 1
10802: 2
108045: 1
1080507: 1
108054: 2
108059: 1
108066: 2
1080723: 1
108084: 1
108085: 1
108088: 1
1080899: 1
1081: 2
108101: 1
108105681: 1
108106: 1
1081187: 1
108120: 1
10813: 35
1081301: 1
108131: 1
108140: 1
108147: 1
1081493: 1
108153: 1
108157: 1
108158: 1
1081768: 1
10818: 1
1081872: 1
10819232202: 1
10820: 1
108204: 1
108210310: 1
1082113: 1
10822: 1
10823: 1
1082442: 1
10825: 5
10826: 4
10827: 1
108284: 2
108286: 1
1083: 2
1083062: 1
108307: 1
108323: 1
108324: 1
108335: 1
108361: 1
10837: 1
108378: 1
108380: 1
108384: 1
108390: 1
1083927: 1
1083949: 1
108396: 1
1084: 2
108403: 1
108422: 1
10843: 1
108443: 1
108459: 1
108466: 1
108474: 1
10848: 1
108482: 1
108492: 1
108494533: 1
1085: 1
10854: 1
108558983: 1
1085598: 1
108564: 1
1085718: 1
108585: 1
1085958: 1
1086: 1
108605: 1
108607: 1
108623: 1
108627: 1
10863: 3
108654: 1
108664: 1
108676: 2
108687: 1
108699: 1
108705: 1
1087148: 1
108715: 1
108725: 1
108727: 1
108729: 1
1087290: 1
108764: 1
108768: 1
108772: 1
108776: 1
1088: 1
10880: 1
10881: 1
1088235: 1
108828: 1
10883: 1
108832: 1
1088384: 1
10884: 1
108858: 2
10886: 1
108876: 3
108878: 1
1088785: 1
108900: 1
1089067: 1
108944: 1
108946: 1
1089460: 1
108948: 1
1089568: 1
108969: 1
10898: 1
108987: 1
109: 72
1090: 2
109000: 1
109007: 1
109010: 1
109017nbsp: 2
109035: 1
1090425: 1
109046: 1
109048: 1
10905: 13
10906: 1
109064: 1
109068: 1
109084: 1
109088: 1
109094: 1
1090952: 1
109098: 1
1091: 1
10910: 2
1091030202: 1
109107: 1
109123: 1
109127: 1
1091459: 1
109148: 1
1091589: 1
10917: 3
109170: 1
1091780: 1
109187: 1
1091883: 1
1091892: 1
1091928: 1
109198: 1
1092008: 1
109206: 1
10921: 1
109213: 1
109223: 1
109224: 1
10923: 1
109231: 1
1092388: 1
1092471: 1
109253: 1
109263: 1
10927: 1
1092960: 1
1093: 1
109305: 3
109312: 1
10932: 1
109333: 1
109334: 1
109341: 1
109343: 1
109347: 1
109349: 1
109354: 1
10938: 1
1093894: 1
109395: 1
109398: 1
109400: 1
1094016: 1
109405: 1
1094148: 1
109416: 1
1094167: 1
10944: 1
1094424: 1
10945: 1
109450: 1
1094570: 1
10946: 6
109464: 1
109466: 1
109469: 1
109491: 1
10950: 30
1095141: 1
109518: 1
10952: 1
109537: 2
1095416: 1
109572: 1
109574: 1
1095765: 1
10958: 1
10959: 1
1095908: 1
10962: 1
1096317: 1
1096331: 1
1096397: 1
1096458: 1
109674: 1
109680: 1
109687: 1
109699: 1
1097: 1
1097054: 1
109710: 1
109715: 1
109716: 1
1097336: 1
1097341: 1
109741: 1
1097498: 1
109751: 1
109760: 1
1097658: 1
10977: 5
10978: 2
1097827: 1
109785: 1
109786: 1
109787: 1
10979: 1
109797: 1
1098: 1
109801: 1
1098040: 1
10981: 1
109811: 1
109820: 1
109851: 1
109855: 1
109868: 1
10987: 1
109885: 2
109888: 1
109890: 1
1099: 2
1099030: 1
109904: 1
109909: 3
109913: 2
109919: 1
1099395: 1
109942: 1
109944: 1
10996: 1
109964: 1
109969: 1
10997: 1
109972: 1
109984: 1
109998: 1
10al: 1
10alatt: 1
10april: 1
10at: 1
10b: 1
10b5: 1
10day: 1
10degn20degn110dege120dege: 2
10ei: 1
10en: 3
10et: 1
10eves: 1
10fn: 260
10hungary: 1
10ig: 1
10k: 2
10milliard: 1
10million: 1
10mm: 1
10nbsp: 1
10os: 1
10pgs: 647
10pm: 1
10pt: 10
10s: 257
10szazaleka: 1
10t: 1
10tin: 1
10w30: 2
11: 1447
110: 71
1100: 21
11000: 3
110000: 2
110006: 1
1100072: 1
110014: 1
110029: 1
1100565: 1
11007: 5
11008: 2
1100821: 1
110086: 1
110087: 1
1101: 1
11010: 1
1101011: 1
110103: 1
1101124: 1
110120: 2
1101220: 1
1101407: 1
110153: 1
110154: 1
110157: 1
110161: 1
1101673: 1
110171: 1
110174793: 1
1101847: 1
110190: 1
11019348206: 1
110203: 1
110211: 1
110214: 1
110238: 1
11024: 3
11025: 1
110257: 2
110280: 1
110292: 1
110293: 1
110296: 1
1103: 2
110303: 1
110321: 1
1103396: 1
11034: 1
1103547: 1
11036: 2
110376: 1
110398: 1
1104: 3
11040: 2
11042: 1
1104243: 1
1104297: 1
11044: 1
110452: 1
110453: 1
11046: 1
1104707: 1
1104763: 1
1104765: 1
110481: 1
110486: 1
110491: 1
110496: 1
1105: 1
110503: 1
1105056: 1
110506: 1
11052: 1
1105202: 1
110536: 1
110537: 1
110547: 1
110556: 1
110558: 1
1105929: 1
110596: 1
110597: 1
110612: 1
110615: 2
110644: 1
11067: 1
1106788: 1
11069: 2
110697: 1
1107: 1
11073766: 1
110751: 2
110769: 1
110776: 1
1107801: 1
1107972: 1
110812: 1
110824: 1
110825: 1
110838: 1
11085: 2
110861: 1
110864: 1
1108655: 1
110869: 1
110871: 1
1108804: 1
110888: 1
110893: 1
1109: 1
11090: 2
110900: 1
110907: 1
110913: 1
110926087: 1
110933: 1
110935: 1
1109409: 1
1109456: 1
11095: 1
110953: 2
110954: 1
110956: 1
1109818: 1
1109820: 1
110985: 1
110993: 1
110dege: 2
110dege120dege: 1
110dege130dege: 1
111: 56
1110: 2
11100: 1
111008: 1
111033: 1
1110394: 1
111068: 1
11107: 1
111078: 1
111079: 1
111080: 1
111097: 1
1111: 1
111104782: 1
111104799: 1
1111081: 1
11111: 2
11112: 1
111136: 1
1111415: 1
1111509: 1
111172: 1
111173: 1
111178: 2
11118061: 1
111183: 1
1111835: 1
111189: 1
1112: 1
1112005: 1
111202: 1
111209: 1
111218: 1
111221: 1
111237: 1
111239: 1
1112452: 1
1112468: 1
11126: 4
111262: 1
111265: 1
1112771: 1
1112780: 1
111281: 1
1112825: 1
1112854: 2
1112860: 1
1112936: 1
111296: 3
1113: 5
11130: 2
111300: 1
111305: 1
111325: 1
111340: 1
111342: 1
111345: 2
11135122207: 1
111352: 2
111358: 1
111373: 1
111374: 1
11138: 3
111386: 1
1114: 1
111401: 1
111405: 2
1114067: 1
111409: 1
111420: 1
11142031: 1
1114208: 1
111425: 1
1114313: 1
111433: 1
111437: 1
111438: 1
111439: 1
111441: 1
111449: 1
111450: 1
11146: 1
1114766: 1
1114865: 1
11149: 1
111491: 1
1115: 1
111512: 1
111513: 1
111520529: 1
1115292: 1
1115360: 1
111549: 1
11155: 1
111553: 1
111570: 1
111573: 1
11158: 2
11160: 1
111604: 1
1116048: 1
1116359: 1
111644: 1
1116442: 1
111667: 1
111680: 1
111690: 1
1116945: 1
1117: 1
1117035: 1
111704: 1
111716: 1
111737: 1
11175: 4
111754: 1
11176: 2
1117671: 1
1117712: 1
11178: 4
111788: 1
1117892: 1
11180: 1
111801: 1
1118042: 1
1118079: 1
111825: 1
111827: 1
111834: 1
1118340: 1
111837: 1
1118392: 1
1118593: 1
11186: 3
1118641: 1
111868: 1
111872: 1
111872575: 1
1118739: 1
111893: 1
111894: 1
111897: 1
111898: 5
111899: 1
111908: 1
111914: 1
1119187: 1
1119227: 1
1119275: 1
11193: 3
1119413: 1
111949: 1
11196: 3
11198: 10
111999: 1
111fn: 1
112: 61
1120: 1
112003: 1
112005: 1
1120260: 1
112044: 1
112051: 1
11206: 2
1120692: 1
1120786: 1
11209: 1
1121: 2
11211: 1
112115: 1
112116139192: 1
112126: 1
112129: 1
112136: 1
112138400: 1
11214334: 1
112148: 1
11215: 1
11216: 1
11217: 2
11218: 12
112191: 1
112198: 1
1122: 1
112210: 1
112212: 1
112217: 1
1122293: 1
112233: 1
112244: 1
1122498: 1
11225: 1
112255: 1
112257: 1
11228: 1
112284: 1
1122870: 1
112302: 1
112311: 1
112322: 1
112326: 1
1123299: 2
1123329: 2
1123365472: 2
112346: 1
11235: 1
1123504: 1
112354: 1
1123585: 1
11236: 1
1123676: 1
11237: 1
112372: 1
11239: 1
112400: 1
112406: 1
1124074: 1
112409: 1
112410: 1
1124169: 1
1124319: 1
112434: 1
11244: 1
11246: 3
1124607: 1
112468: 1
11248: 1
112484: 1
11251: 1
1125199: 1
1125246: 1
112535: 1
112550: 1
1125544: 1
1125649: 1
112570: 1
1125716: 1
112576: 1
11258: 2
1125802: 1
1125866: 1
1126: 2
11260: 9
112614: 1
112616: 1
1126183: 1
11262: 1
112620: 2
112626: 1
112627: 1
112628: 1
112641: 1
112648: 1
112650: 1
112661: 1
1126622: 1
1126717: 1
11268: 1
1126865: 1
11269: 1
1126951: 1
112696: 1
1127010: 1
112716: 1
112734: 2
112738: 1
112746: 1
1127493: 1
1127501: 1
112752: 1
112758: 1
1127683: 1
112789: 1
11279: 1
112791: 1
112795: 1
1128: 2
112805: 1
112821: 1
1128254: 1
112836: 1
112841: 1
112850: 1
112856: 1
112863: 1
112867: 1
112869: 1
1128744: 1
1128908: 1
112897: 1
112946: 2
112953: 1
112962: 1
112979: 1
112982: 1
112985: 1
1129870: 1
1129pm: 1
112en: 1
112k: 1
113: 63
113000: 1
113004: 1
1130056: 1
11301: 1
113018: 1
1130198: 1
113028: 1
113031: 1
1130331: 1
113038: 1
1130396: 1
11304: 1
113053: 1
113064: 1
113067: 1
113070: 1
113083: 1
113085: 1
11309: 1
113104: 1
11311: 1
113119: 1
113126444: 1
1131558: 1
113160: 1
113189: 1
113191: 1
113196: 1
11321: 1
11322: 1
1132214: 2
11323: 1
1132387: 1
11324: 1
113246: 1
113254: 1
113258: 2
113261: 1
113265: 1
11326978: 1
11327: 1
11328: 1
1132857: 1
113290: 1
1132922: 1
113311: 1
1133126: 1
113321: 1
1133221: 1
1133276: 1
113333: 1
11334: 1
1133506: 1
11335128: 1
113353: 1
11336: 1
113367: 1
113379: 1
113380: 1
113386: 1
1133941: 1
113397: 1
1134: 1
113400: 1
113412: 1
113413: 1
113415: 1
113436: 1
113439: 1
1134507: 1
113459: 1
11346: 3
113465: 1
113499: 1
1135: 1
1135000: 1
113509: 1
1135414: 1
113564: 1
113567: 1
113581: 1
1135851: 1
113589: 1
11359: 2
113601: 1
1136080: 1
113613: 2
